Trajectory ID, Date Time, Latitude,Longitude,Temperature (C),Depth (cm),Turbidity (NTU)
152439,2023-07-12 15:27:23,25.7577934265,-80.3734893798,91.4000015258,23.5641040802,0.0000000000
152439,2023-07-12 15:27:33,25.7577972412,-80.3735122680,91.5124969482,-1.0000000000,0.0000000000
153003,2023-07-12 15:30:55,25.7578105926,-80.3734207153,91.4000015258,23.5469551086,0.0000000000
153003,2023-07-12 15:30:59,25.7578105926,-80.3734207153,91.5124969482,23.3583049774,0.0000000000
153003,2023-07-12 15:31:28,25.7578105926,-80.3734207153,91.5124969482,23.6498546600,0.0000000000
153003,2023-07-12 15:31:47,25.7578105926,-80.3734207153,91.4000015258,-1.0000000000,0.0000000000
153003,2023-07-12 15:32:04,25.7578105926,-80.3734207153,91.4000015258,-1.0000000000,0.0000000000
153003,2023-07-12 15:32:13,25.7578163146,-80.3734512329,91.4000015258,24.0786056518,0.0000000000
153003,2023-07-12 15:33:05,25.7578010559,-80.3734512329,91.4000015258,23.9928550720,0.0000000000
153003,2023-07-12 15:33:18,25.7578010559,-80.3734512329,91.5124969482,24.3015556335,0.0000000000
153003,2023-07-12 15:33:29,25.7577800750,-80.3734817504,91.5124969482,23.2554054260,0.0000000000
153003,2023-07-12 15:33:35,25.7577800750,-80.3734817504,91.5124969482,23.6327056884,0.0000000000
153003,2023-07-12 15:33:39,25.7577800750,-80.3734817504,91.5124969482,23.4269046783,0.0000000000
153003,2023-07-12 15:34:02,25.7577781677,-80.3734970092,91.5124969482,23.7356052398,0.0000000000
153726,2023-07-12 15:39:01,25.7578754425,-80.3734207153,91.0625000000,23.6327056884,0.0000000000
153726,2023-07-12 15:39:08,25.7578754425,-80.3734207153,91.4000015258,23.7527542114,0.0000000000
153726,2023-07-12 15:39:17,25.7578754425,-80.3734207153,91.5124969482,-1.0000000000,0.0000000000
153726,2023-07-12 15:39:33,25.7578754425,-80.3734207153,91.6250000000,24.0786056518,0.0000000000
153726,2023-07-12 15:39:34,25.7578754425,-80.3734207153,91.6250000000,24.2501049041,0.0000000000
153726,2023-07-12 15:39:39,25.7578754425,-80.3734207153,91.5124969482,23.9928550720,0.0000000000
153726,2023-07-12 15:39:47,25.7578754425,-80.3734207153,91.5124969482,23.5812549591,0.0000000000
153726,2023-07-12 15:39:55,25.7578754425,-80.3734207153,91.5124969482,23.4097537994,0.0000000000
153726,2023-07-12 15:40:06,25.7578754425,-80.3734207153,91.5124969482,-1.0000000000,0.0000000000
153726,2023-07-12 15:40:14,25.7578754425,-80.3734207153,91.5124969482,23.8899555206,0.0000000000
153726,2023-07-12 15:40:15,25.7578754425,-80.3734207153,91.5124969482,24.0271549224,0.0000000000
153726,2023-07-12 15:40:22,25.7578754425,-80.3734207153,91.5124969482,24.0957546234,0.0000000000
153726,2023-07-12 15:40:32,25.7578239440,-80.3735198974,91.5124969482,23.8213539123,0.0000000000
153726,2023-07-12 15:40:48,25.7578239440,-80.3735198974,91.5124969482,23.6327056884,0.0000000000
